abertura;fechamento;maximo;minimo
67669.9;67647.99;67808;67576
67648;67700;67700;67526.5
67699.99;67936.02;68188;67678.4
67936.02;67857.16;68021.02;67840
67857.16;67807.64;68009.16;67794.42
67807.65;67823.88;67871.73;67721.41
67823.88;67861;67876.78;67760
67861.01;68067.48;68247.48;67824.93
68067.48;68849.18;68896.1;68055
68849.18;68899.68;69309.91;68705.88
68899.67;68824;69155.83;68792.62
68824;68924.01;68966.66;68562.29
68924;68593.5;69040;68510.63
68593.5;68551.53;68624;68334.24
68551.53;68701.32;68840;68384
68701.33;68747.99;69086.23;68684.06
68748;68500;68798.31;68350
68500;67773.26;68551.99;67574.95
67773.25;67761.37;67773.26;67320
67761.37;67850.27;68089.4;67741.31
67850.26;67931.26;67982.4;67812.01
67931.26;67960;68148.69;67827.82
67959.99;67934.85;67960;67699.77
67934.85;67643.48;67955.98;67495
67643.48;67787.9;67866.65;67600
67787.91;67683.6;67821.2;67604.93
67683.59;67925.21;67999.98;67630
67925.2;67955.59;68051.94;67899
67955.59;67937.05;67999.99;67846.15
67937.06;68283.75;68358;67889.2
68283.74;68337.12;68487.93;68270.13
68337.11;68486.01;68493.43;68278.33
68486.01;68487.79;68565.54;68395.59
68487.8;68341.08;68492.6;68320.91
68341.08;68220.01;68399.8;68169.01
68220;68304;68319.78;68166.66
68304;68606;68756.67;68301.86
68606.01;68448.01;68615.58;68412.75
68448.01;68074.49;68466.9;67940.63
68074.48;68095.49;68136.68;67760.93
68095.49;68160;68199.99;67966.67
68160;67956.01;68161.82;67838.34
67956.01;67904.01;68051.94;67727.28
67904.01;67672.38;67976.68;67520
67672.39;67600;67672.76;67435.67
67599.99;67853.89;67853.89;67570
67853.88;67913.99;67998.99;67792.36
67913.99;67820.38;68033.33;67757.62
67820.38;67863.99;67919.16;67700.01
67864;68012.01;68028;67840.86
68012.01;67796;68012.01;67773.92
67796;67588;67798;67571.54
67588;67647.99;67684.8;67450.01
67648;67455.71;67750.99;67450
67455.72;66674.01;67489.97;66380
66674;66841.4;66844;66520.59
66841.4;66888.04;66935.99;66799.99
66888.03;66906;66928.18;66775.97
66905.99;66990;66996.12;66770.86
66990;67062.94;67179.56;66965.77
67062.95;67140.56;67176.79;67000.01
67140.56;66999.99;67144.55;66894.02
67000;67007.38;67090.68;66948.05
67007.39;66921.99;67074;66908
66922;66930.74;66983.65;66832.5
66930.75;67310;67361.85;66917.74
67310;67408;67684.26;67203.57
67408;67268;67513.05;67216.42
67268;67151.21;67366.67;67030.57
67151.2;66990.99;67151.21;66753.93
66991;66646;66991;66383.01
66646;66733.33;66813.82;66530.73
66733.34;66805.98;66838;66632.6
66805.99;66948.77;66966.67;66777.81
66948.77;66853.36;66955.38;66708.01
66853.36;67187.88;67213.84;66808.75
67187.88;67034.65;67203.43;67000.01
67034.66;66923.34;67087.98;66866.66
66923.33;66803.36;66979.72;66778.95
66803.35;66782.13;66889.99;66548
66782.12;66478;66789.04;66388
66478;66595.74;66704.66;66183.55
66595.74;66739.35;66808.42;66446.16
66739.35;66398.03;66739.36;65952.56
66398.04;66883.99;66888;66375.75
66883.99;66739.01;66904.96;66524.18
66739;66904.01;66962.72;66577.5
66904.01;67314.01;67380;66845.25
67314.02;67500;67589.61;67234.23
67500.01;67860.01;67929.99;67314.11
67860.01;67555.4;67932.8;67407.87
67555.4;68155.75;68261.41;67460.01
68155.75;68139.39;68566.66;68121.25
68139.39;67943.56;68252.58;67799.99
67943.55;67724.13;67943.56;67628.2
67724.14;68029.92;68058.49;67633.33
68029.91;68190.62;68268.14;67871.73
68190.62;68046.75;68380;68034.84
68046.75;67945;68185;67913.03
67945;67829.94;67995.79;67743.7
67829.94;67953.8;67974.79;67680
67953.79;67822.81;67986.83;67700
67822.82;67726.75;67878.77;67709.66
67726.76;67559.16;67800;67501.01
67559.17;67442.49;67608;67358.93
67442.49;67668.01;67727.28;67316
67668.01;67480.43;67729.54;67480.43
67480.44;67600.54;67717.11;67433.33
67600.54;67629.02;67651.28;67515.09
67629.01;67704.73;67895.96;67612.43
67704.73;67855.26;67874.89;67701.71
67855.25;67600.01;68096;67600
67600.01;67412.4;67747.46;67382.6
67412.41;67496.54;67552.29;67342
67496.55;67620;67620;67396.15
67619.99;67642.4;67758.04;67566.66
67642.4;67643.48;67695.29;67587.48
67643.48;67679.1;67700;67578.26
67679.11;67791.26;67838.07;67673.56
67791.26;67734.56;67813.62;67611.11
67734.57;67515.45;67792.21;67515.44
67515.44;67640;67695.71;67503.31
67640;67690;67720.93;67625.89
67690.01;67779.06;67779.06;67626.2
67779.06;67628.53;67843.55;67566.67
67628.53;67813.98;67855;67628.52
67813.97;67839.1;67851.27;67766.66
67839.09;67917.94;67955.43;67826
67917.95;67820.62;67966.67;67752.84
67820.63;67792.2;67863.84;67686.23
67792.21;67864.39;67864.39;67734.46
67864.39;67918;68065.2;67864.38
67917.99;67900.57;67997.47;67830
67900.56;67818;67960;67806.52
67817.99;67918;67977.73;67813.97
67918;67794.46;67932;67774
67794.46;67689.99;67833.34;67643.47
67689.99;67659.89;67765.77;67659.88
67659.88;67595.6;67721.88;67588.01
67595.6;67492.51;67648;67447.83
67492.51;67574.59;67588.3;67492.5
67574.6;67715.65;67746.06;67574.59
67715.65;67742.76;67882.5;67697.77
67742.76;67639.99;67784.99;67633.33
67639.99;67788.01;67812.04;67609.99
67788;67776;67819.13;67742.19
67776.01;67669.99;67793.4;67669.98
67669.99;67676.09;67789.24;67630
67676.09;67735.84;67760.7;67602
67735.84;67965.85;67978;67720.17
67965.85;67999.99;68033.34;67848
68000;68093.61;68232.14;67999.99
68093.6;68038.74;68108.62;67943.14
68038.75;67980;68059.8;67845.2
67980;68008.36;68039.37;67922.08
68008.36;68106.74;68110;67984.37
68106.75;68109.42;68162.9;68061.65
68109.43;68055.34;68120.02;67996.3
68055.33;67967.53;68078.78;67960.32
67967.54;67989.14;68008;67940.54
67989.14;67992.02;68189.33;67953.15
67992.02;68000.35;68106.88;67947.11
68000.36;67938;68000.36;67859.53
67938.01;67909.28;67965.1;67886.42
67909.27;68012.14;68074.56;67909.27
68012.15;68086.85;68120;67987.01
68086.84;67962.35;68088;67962.01
67962.34;67888.81;67973.22;67830
67888.81;67792;67923.68;67747.86
67792;67851.1;67851.11;67792
67851.11;67813.99;67886.37;67800.73
67814;67809.21;67823.55;67714.72
67809.21;67842.17;67874.42;67773.91
67842.18;67759.68;67904.35;67717.22
67759.68;67743.93;67800;67707.12
67743.94;67711.83;67743.94;67633.33
67711.83;67668.16;67739.08;67615.22
67668.16;67725.46;67750.47;67629.71
67725.46;67777.1;67777.11;67687.81
67777.1;67663.23;67796.69;67663.23
67663.24;67738.37;67741.19;67582.3
67738.36;67707.72;67745.13;67620
67707.72;67580;67707.73;67570.01
67580;67678;67708.7;67527.78
67678.01;67699.99;67708.7;67617.03
67700;67786;67820.23;67684
67786.01;67777.12;67895.45;67732
67777.11;68011.84;68109.13;67774
68011.84;67993.99;68014.48;67950
67994;68242.12;68299;67896.48
68242.12;68120.57;68258.59;68120.57
68120.57;68067.4;68170.85;68057.29
68067.39;68104;68164;68067.39
68104.01;67998.1;68174;67990.6
67998.09;67981.95;68074;67948.83
67981.95;67990.02;68023.72;67950
67990.01;68143.48;68150;67985.59
68143.48;68117.98;68143.48;68039.94
68117.97;68146.36;68238.09;68106
68146.36;68413.29;68444;68146.35
68413.29;68287.3;68484.09;68180.01
68287.3;68266.67;68379.82;68252
68266.67;68259.76;68277.51;68186
68259.76;68253.71;68286.8;68163.62
68253.72;68307.28;68311.69;68238.01
68307.28;68305.37;68415;68218
68305.36;68346;68371.63;68279.26
